"","Treatment","warmed","clipped","Sample"
"a_C026","UC","no","yes","6CC"
"a_C066","UU","no","no","3UC"
"a_C070","WU","yes","no","5UW"
"a_C074","UU","no","no","2UC"
"a_C075","WC","yes","yes","5CW"
"a_C077","WU","yes","no","4UW"
"a_C079","UU","no","no","6UC"
"a_C081","UC","no","yes","3CC"
"a_C082","UC","no","yes","1CC"
"a_C083","UU","no","no","6UC"
"a_C084","WC","yes","yes","4CW"
"a_C085","UC","no","yes","1CC"
"a_C086","UC","no","yes","3CC"
"a_C088","WC","yes","yes","5CW"
"a_C089","WC","yes","yes","1CW"
"a_C090","WC","yes","yes","3CW"
"a_C091","UU","no","no","2UC"
"a_C093","UU","no","no","2UC"
"a_C095","WU","yes","no","6UW"
"a_C096","WC","yes","yes","1CW"
"a_C098","WU","yes","no","5UW"
"a_C099","UU","no","no","4UC"
"a_C100","WU","yes","no","2UW"
"a_C101","WU","yes","no","3UW"
"a_C102","WC","yes","yes","3CW"
"a_C116","UC","no","yes","3CC"
"a_C125","UC","no","yes","4CC"
"a_C126","WU","yes","no","2UW"
"a_C127","WU","yes","no","6UW"
"a_C128","WU","yes","no","4UW"
"a_C130","WC","yes","yes","4CW"
"a_C131","UU","no","no","6UC"
"a_C132","WC","yes","yes","5CW"
"a_C134","UC","no","yes","6CC"
"a_C136","WC","yes","yes","1CW"
"a_C137","WC","yes","yes","6CW"
"a_C139","UC","no","yes","2CC"
"a_C140","UU","no","no","3UC"
"a_C141","UU","no","no","1UC"
"a_C143","WU","yes","no","3UW"
"a_C144","WU","yes","no","4UW"
"a_C145","WC","yes","yes","6CW"
"a_C146","UU","no","no","5UC"
"a_C147","WU","yes","no","2UW"
"a_C149","UU","no","no","1UC"
"a_C150","UC","no","yes","4CC"
"a_C151","WC","yes","yes","3CW"
"a_C153","WU","yes","no","1UW"
"a_C154","UC","no","yes","2CC"
"a_C156","UC","no","yes","1CC"
"a_C157","UC","no","yes","5CC"
"a_C158","WU","yes","no","6UW"
"a_C159","UU","no","no","4UC"
"a_C160","WC","yes","yes","2CW"
"a_C161","UC","no","yes","5CC"
"a_C162","UU","no","no","5UC"
